Year,Player,Age,Pos,All NBA Total Career,PER
1999,J.R. Reid,30,PF,0,13.7
1999,J.R. Reid,30,PF,0,17.6
1999,J.R. Reid,30,PF,0,9
2000,J.R. Reid,31,PF,0,9
2001,J.R. Reid,32,PF,0,15.7
2005,J.R. Smith,19,SG,0,10.9
2006,J.R. Smith,20,SG,0,12.7
2007,J.R. Smith,21,SG,0,15.6
2008,J.R. Smith,22,SG,0,18.1
2009,J.R. Smith,23,SG,0,16.8
2010,J.R. Smith,24,SG,0,15
2011,J.R. Smith,25,SF,0,16.4
2012,J.R. Smith,26,SG,0,15.2
2013,J.R. Smith,27,SG,0,17.6
2014,J.R. Smith,28,SF,0,14
2015,J.R. Smith,29,SG,0,13.6
2015,J.R. Smith,29,SG,0,11.5
2015,J.R. Smith,29,SG,0,14.5
2016,J.R. Smith,30,SG,0,12.4
2017,J.R. Smith,31,SG,0,8.1
2015,Jabari Brown,22,SG,0,11
2015,Jabari Parker,19,PF,0,14.5
2016,Jabari Parker,20,PF,0,14.8
2017,Jabari Parker,21,PF,0,19.1
2001,Jabari Smith,23,C,0,14.7
2002,Jabari Smith,24,C,0,13.1
2002,Jabari Smith,24,C,0,7
2002,Jabari Smith,24,C,0,17.1
2004,Jabari Smith,26,C,0,9.2
2005,Jabari Smith,27,PF,0,8.4
2015,Jack Cooley,23,PF,0,11.4
1990,Jack Haley,26,PF,0,8.5
1990,Jack Haley,26,PF,0,12.3
1990,Jack Haley,26,PF,0,8.2
1991,Jack Haley,27,PF,0,11.8
1992,Jack Haley,28,C,0,3.6
1994,Jack Haley,30,PF,0,12.8
1995,Jack Haley,31,PF,0,11.9
1996,Jack Haley,32,C,0,1.8
1997,Jack Haley,33,C,0,19.6
1998,Jack Haley,34,C,0,7.2
1990,Jack Sikma,34,C,0,14.7
1991,Jack Sikma,35,C,0,13.7
2005,Jackie Butler,19,C,0,90.3
2006,Jackie Butler,20,C,0,14.8
2007,Jackie Butler,21,C,0,9.6
2005,Jackson Vroman,23,C-PF,0,9.6
2005,Jackson Vroman,23,PF,0,8.2
2005,Jackson Vroman,23,C,0,9.7
2006,Jackson Vroman,24,PF,0,5.9
1998,Jacque Vaughn,22,PG,0,6.9
1999,Jacque Vaughn,23,PG,0,13.3
2000,Jacque Vaughn,24,PG,0,9.2
2001,Jacque Vaughn,25,PG,0,12.8
2002,Jacque Vaughn,26,PG,0,13.1
2003,Jacque Vaughn,27,PG,0,10.5
2004,Jacque Vaughn,28,PG,0,8
2005,Jacque Vaughn,29,SG,0,8.9
2006,Jacque Vaughn,30,SG,0,7.5
2007,Jacque Vaughn,31,PG,0,10.9
2008,Jacque Vaughn,32,PG,0,9.2
2009,Jacque Vaughn,33,PG,0,7.6
2013,Jae Crowder,22,SF,0,10.2
2014,Jae Crowder,23,SF,0,11.9
2015,Jae Crowder,24,SF,0,13.9
2015,Jae Crowder,24,SF,0,12.7
2015,Jae Crowder,24,SF,0,14.1
2016,Jae Crowder,25,SF,0,15.8
2017,Jae Crowder,26,SF,0,14.9
1999,Jahidi White,22,PF,0,9.4
2000,Jahidi White,23,C,0,15.7
2001,Jahidi White,24,C,0,14.7
2002,Jahidi White,25,C,0,14.9
2003,Jahidi White,26,C,0,14.8
2004,Jahidi White,27,C,0,11.8
2004,Jahidi White,27,C,0,-13.4
2004,Jahidi White,27,C,0,11.9
2005,Jahidi White,28,C,0,6.8
2016,Jahlil Okafor,20,C,0,17.1
2017,Jahlil Okafor,21,C,0,14.8
2012,JaJuan Johnson,22,PF,0,11.4
2015,JaKarr Sampson,21,SF,0,9.4
2016,JaKarr Sampson,22,SF,0,8.3
2016,JaKarr Sampson,22,SF,0,7.7
2016,JaKarr Sampson,22,SF,0,9.3
2017,Jake Layman,22,SF,0,4.9
2001,Jake Tsakalidis,21,C,0,9.6
2002,Jake Tsakalidis,22,C,0,11.7
2003,Jake Tsakalidis,23,C,0,10.2
2004,Jake Tsakalidis,24,C,0,12.5
2005,Jake Tsakalidis,25,C,0,11.8
2006,Jake Tsakalidis,26,C,0,17.3
2007,Jake Tsakalidis,27,C,0,8.4
2007,Jake Tsakalidis,27,C,0,6.5
2007,Jake Tsakalidis,27,C,0,12
2001,Jake Voskuhl,23,C,0,5.8
2002,Jake Voskuhl,24,C,0,13.9
2003,Jake Voskuhl,25,C,0,11.8
2004,Jake Voskuhl,26,C,0,11.2
2005,Jake Voskuhl,27,C,0,8.7
2006,Jake Voskuhl,28,C,0,11
2007,Jake Voskuhl,29,C,0,10.9
2008,Jake Voskuhl,30,C,0,8.7
2009,Jake Voskuhl,31,C,0,0.4
2017,Jakob Poeltl,21,C,0,12.2
1995,Jalen Rose,22,SF,0,15.1
1996,Jalen Rose,23,SG,0,14.3
1997,Jalen Rose,24,SF,0,13.8
1998,Jalen Rose,25,SF,0,14.1
1999,Jalen Rose,26,SF,0,14.4
2000,Jalen Rose,27,SF,0,16.7
2001,Jalen Rose,28,SF,0,17.8
2002,Jalen Rose,29,SF,0,16.8
2002,Jalen Rose,29,SF,0,15.7
2002,Jalen Rose,29,SF,0,18.4
2003,Jalen Rose,30,SF,0,14.9
2004,Jalen Rose,31,PG-SF,0,12.4
2004,Jalen Rose,31,SF,0,10.8
2004,Jalen Rose,31,PG,0,12.8
2005,Jalen Rose,32,SF,0,16.6
2006,Jalen Rose,33,SF-SG,0,13.9
2006,Jalen Rose,33,SF,0,13.5
2006,Jalen Rose,33,SG,0,14.5
2007,Jalen Rose,34,SF,0,13.4
2014,Jamaal Franklin,22,SG,0,4.7
2015,Jamaal Franklin,23,SG,0,4.9
2001,Jamaal Magloire,22,C,0,13.4
2002,Jamaal Magloire,23,C,0,18.8
2003,Jamaal Magloire,24,C,0,15.4
2004,Jamaal Magloire,25,C,0,16.5
2005,Jamaal Magloire,26,C,0,12.9
2006,Jamaal Magloire,27,C,0,11.1
2007,Jamaal Magloire,28,C,0,11.5
2008,Jamaal Magloire,29,C,0,1.4
2008,Jamaal Magloire,29,C,0,1.7
2008,Jamaal Magloire,29,C,0,-1.9
2009,Jamaal Magloire,30,C,0,10.6
2010,Jamaal Magloire,31,C,0,9.4
2011,Jamaal Magloire,32,C,0,12.7
2012,Jamaal Magloire,33,C,0,2.7
2002,Jamaal Tinsley,23,PG,0,13.4
2003,Jamaal Tinsley,24,PG,0,13.4
2004,Jamaal Tinsley,25,PG,0,16.4
2005,Jamaal Tinsley,26,PG,0,18.6
2006,Jamaal Tinsley,27,PG,0,12.1
2007,Jamaal Tinsley,28,PG,0,15.2
2008,Jamaal Tinsley,29,PG,0,12.8
2010,Jamaal Tinsley,31,PG,0,7.8
2012,Jamaal Tinsley,33,PG,0,10.9
2013,Jamaal Tinsley,34,PG,0,10.6
2014,Jamaal Tinsley,35,PG,0,1.9
2001,Jamal Crawford,20,PG,0,8.5
2002,Jamal Crawford,21,PG,0,15.3
2003,Jamal Crawford,22,PG,0,15.4
2004,Jamal Crawford,23,SG,0,15.9
2005,Jamal Crawford,24,SG,0,15.2
2006,Jamal Crawford,25,SG,0,15.5
2007,Jamal Crawford,26,SG,0,14.5
2008,Jamal Crawford,27,SG,0,16
2009,Jamal Crawford,28,PG-SG,0,15.1
2009,Jamal Crawford,28,SG,0,15.7
2009,Jamal Crawford,28,PG,0,15
2010,Jamal Crawford,29,SG,0,18.4
2011,Jamal Crawford,30,SG,0,14.2
2012,Jamal Crawford,31,PG,0,15.7
2013,Jamal Crawford,32,SG,0,16.8
2014,Jamal Crawford,33,SG,0,17.3
2015,Jamal Crawford,34,SG,0,16.6
2016,Jamal Crawford,35,SG,0,14
2017,Jamal Crawford,36,SG,0,12
1994,Jamal Mashburn,21,SF,1,13.2
1995,Jamal Mashburn,22,SF,1,17.3
1996,Jamal Mashburn,23,SF,1,14.4
1997,Jamal Mashburn,24,SF,1,12.6
1997,Jamal Mashburn,24,SF,1,11.9
1997,Jamal Mashburn,24,SF,1,13.1
1998,Jamal Mashburn,25,SF,1,14.1
1999,Jamal Mashburn,26,SF,1,15.1
2000,Jamal Mashburn,27,SF,1,15.4
2001,Jamal Mashburn,28,SF,1,17.5
2002,Jamal Mashburn,29,SF,1,16.9
2003,Jamal Mashburn,30,SF,1,18
2004,Jamal Mashburn,31,SF,1,14.7
2017,Jamal Murray,19,SG,0,11.9
2001,Jamal Robinson,27,SF,0,-1.9
2003,Jamal Sampson,19,PF,0,8.4
2004,Jamal Sampson,20,C,0,15
2005,Jamal Sampson,21,PF,0,11.6
2006,Jamal Sampson,22,PF,0,24.4
2007,Jamal Sampson,23,C,0,11.3
2008,Jamario Moon,27,SF,0,15
2009,Jamario Moon,28,SF,0,13.3
2009,Jamario Moon,28,SF,0,14.2
2009,Jamario Moon,28,SF,0,11.6
2010,Jamario Moon,29,SF,0,12.6
2011,Jamario Moon,30,SF,0,10.1
2011,Jamario Moon,30,SF,0,10.7
2011,Jamario Moon,30,SF,0,8.4
2012,Jamario Moon,31,SF,0,3.4
2005,Jameer Nelson,22,PG,0,14.5
2006,Jameer Nelson,23,PG,0,19.5
2007,Jameer Nelson,24,PG,0,13.9
2008,Jameer Nelson,25,PG,0,15.5
2009,Jameer Nelson,26,PG,0,20.6
2010,Jameer Nelson,27,PG,0,15.5
2011,Jameer Nelson,28,PG,0,15.4
2012,Jameer Nelson,29,PG,0,14.6
2013,Jameer Nelson,30,PG,0,14.4
2014,Jameer Nelson,31,PG,0,13.9
2015,Jameer Nelson,32,PG,0,12.1
2015,Jameer Nelson,32,PG,0,9.9
2015,Jameer Nelson,32,PG,0,8.7
2015,Jameer Nelson,32,PG,0,14.5
2016,Jameer Nelson,33,PG,0,9.5
2017,Jameer Nelson,34,PG,0,11.4
2000,Jamel Thomas,26,SF,0,9.1
2000,Jamel Thomas,26,SF,0,17.7
2000,Jamel Thomas,26,SF,0,3
2001,Jamel Thomas,27,SF,0,0.8
2011,James Anderson,21,SF,0,8.5
2012,James Anderson,22,SG,0,8.8
2013,James Anderson,23,SG-SF,0,13.9
2013,James Anderson,23,SF,0,13
2013,James Anderson,23,SG,0,14.2
2014,James Anderson,24,SG,0,10.9
2016,James Anderson,26,SG,0,6
2007,James Augustine,22,PF,0,16.6
2008,James Augustine,23,PF,0,10.8
1995,James Blackwell,26,PG,0,11.6
1995,James Blackwell,26,PG,0,14.2
1995,James Blackwell,26,PG,0,10.8
1998,James Collins,24,SG,0,15.3
1998,James Cotton,22,SG,0,12.5
1999,James Cotton,23,SG,0,12.2
1990,James Donaldson,32,C,0,12.2
1991,James Donaldson,33,C,0,12.3
1992,James Donaldson,34,C,0,11.1
1992,James Donaldson,34,C,0,12
1992,James Donaldson,34,C,0,-0.3
1993,James Donaldson,35,C,0,10.7
1995,James Donaldson,37,C,0,7.9
1990,James Edwards,34,C,0,13.3
1991,James Edwards,35,C,0,12.7
1992,James Edwards,36,C,0,11.7
1993,James Edwards,37,C,0,11.2
1994,James Edwards,38,C,0,9.1
1995,James Edwards,39,C,0,5.4
1996,James Edwards,40,C,0,3.5
2015,James Ennis,24,SF,0,11.5
2016,James Ennis,25,SF,0,17.8
2016,James Ennis,25,SF,0,2.4
2016,James Ennis,25,SF,0,18.3
2016,James Ennis,25,SF,0,18.1
2017,James Ennis,26,SF,0,10.6
2010,James Harden,20,SG,4,14
2011,James Harden,21,SG,4,16.4
2012,James Harden,22,SG,4,21.1
2013,James Harden,23,SG,4,23
2014,James Harden,24,SG,4,23.5
2015,James Harden,25,SG,4,26.7
2016,James Harden,26,SG,4,25.3
2017,James Harden,27,PG,4,27.3
2010,James Johnson,22,PF,0,10.4
2011,James Johnson,23,SF,0,12.6
2011,James Johnson,23,SF,0,8.8
2011,James Johnson,23,SF,0,13.2
2012,James Johnson,24,SF,0,14.5
2013,James Johnson,25,SF,0,10.2
2014,James Johnson,26,SF,0,18.5
2015,James Johnson,27,PF,0,17.9
2016,James Johnson,28,PF,0,11.4
2017,James Johnson,29,PF,0,17
2004,James Jones,23,SF,0,4.9
2005,James Jones,24,SF,0,10.5
2006,James Jones,25,SF,0,13.2
2007,James Jones,26,SF,0,10.8
2008,James Jones,27,SF,0,13.6
2009,James Jones,28,SF,0,8.4
2010,James Jones,29,SF,0,8.8
2011,James Jones,30,SF,0,11.1
2012,James Jones,31,SG,0,9.7
2013,James Jones,32,SF,0,8.1
2014,James Jones,33,SF,0,15.4
2015,James Jones,34,SF,0,11.1
2016,James Jones,35,SF,0,11.6
2017,James Jones,36,SF,0,11.3
2007,James Lang,23,C,0,6.6
2015,James Michael,22,PF,0,17.7
2016,James Michael,23,PF,0,15.9
2017,James Michael,24,PF,0,13
2014,James Nunnally,23,SF,0,6.1
2014,James Nunnally,23,SF,0,6.2
2014,James Nunnally,23,SF,0,6.1
2000,James Posey,23,SF,0,13
2001,James Posey,24,SF,0,12.5
2002,James Posey,25,SF,0,12.9
2003,James Posey,26,SF,0,13.5
2003,James Posey,26,SF,0,12.3
2003,James Posey,26,SF,0,14.2
2004,James Posey,27,SG,0,18.8
2005,James Posey,28,SF,0,10.5
2006,James Posey,29,SF,0,9.8
2007,James Posey,30,SF,0,12.7
2008,James Posey,31,PF,0,12
2009,James Posey,32,SG,0,10.8
2010,James Posey,33,SF,0,8.7
2011,James Posey,34,SF,0,7.5
1994,James Robinson,23,PG,0,10
1995,James Robinson,24,PG,0,10.5
1996,James Robinson,25,PG,0,10.6
1997,James Robinson,26,PG,0,12.7
1998,James Robinson,27,PG,0,12.4
1999,James Robinson,28,PG,0,10.7
1999,James Robinson,28,PG,0,12.7
1999,James Robinson,28,PG,0,8.2
2001,James Robinson,30,PG,0,5.1
1997,James Scott,24,SF,0,-4.1
2006,James Singleton,24,SF,0,13.6
2007,James Singleton,25,PF,0,11.9
2009,James Singleton,27,PF,0,16.4
2010,James Singleton,28,PF-SF,0,11.4
2010,James Singleton,28,SF,0,10.2
2010,James Singleton,28,PF,0,11.8
2012,James Singleton,30,PF,0,19.6
2014,James Southerland,23,SF,0,11.8
2014,James Southerland,23,SF,0,-40.6
2014,James Southerland,23,SF,0,17.7
2005,James Thomas,24,PF,0,14
2005,James Thomas,24,PF,0,13.6
2005,James Thomas,24,PF,0,21.8
2006,James Thomas,25,PF,0,5.4
2006,James Thomas,25,PF,0,4.1
2006,James Thomas,25,PF,0,11.7
2007,James White,24,SG,0,12.1
2009,James White,26,SF,0,14.6
2013,James White,30,SF,0,9.1
1990,James Worthy*,28,SF,2,19.8
1991,James Worthy*,29,SF,2,18.1
1992,James Worthy*,30,SF,2,16.7
1993,James Worthy*,31,SF,2,15.6
1994,James Worthy*,32,SF,2,12.8
2015,James Young,19,SG,0,8.5
2016,James Young,20,SG,0,3.6
2017,James Young,21,SG,0,10
2010,JamesOn Curry,24,PG,0,
1997,Jamie Feick,22,PF-C,0,11.1
1997,Jamie Feick,22,C,0,16.3
1997,Jamie Feick,22,PF,0,11
1998,Jamie Feick,23,PF,0,12.1
1999,Jamie Feick,24,PF-C,0,14.2
1999,Jamie Feick,24,C,0,-1.7
1999,Jamie Feick,24,PF,0,14.2
2000,Jamie Feick,25,C,0,12.3
2001,Jamie Feick,26,C,0,10.2
1995,Jamie Watson,22,SF,0,9.6
1996,Jamie Watson,23,SF,0,6.9
1997,Jamie Watson,24,SF,0,10.4
1997,Jamie Watson,24,SF,0,11.5
1997,Jamie Watson,24,SF,0,9.7
1999,Jamie Watson,26,SF,0,1.9
2002,Jamison Brewer,21,SG,0,10
2003,Jamison Brewer,22,PG,0,13.4
2004,Jamison Brewer,23,PG,0,6.6
2005,Jamison Brewer,24,PG,0,4
2015,JaMychal Green,24,PF,0,14.9
2015,JaMychal Green,24,PF,0,9.9
2015,JaMychal Green,24,PF,0,15.8
2016,JaMychal Green,25,PF,0,14.6
2017,JaMychal Green,26,PF,0,13.5
2012,Jan Vesely,21,PF,0,11.5
2013,Jan Vesely,22,PF,0,7.6
2014,Jan Vesely,23,PF,0,12.7
2014,Jan Vesely,23,PF,0,11.5
2014,Jan Vesely,23,PF,0,14.5
2003,Jannero Pargo,23,PG,0,7.3
2004,Jannero Pargo,24,PG,0,11.5
2004,Jannero Pargo,24,PG,0,1.6
2004,Jannero Pargo,24,PG,0,5.6
2004,Jannero Pargo,24,PG,0,14.5
2005,Jannero Pargo,25,PG,0,11.1
2006,Jannero Pargo,26,PG,0,9.9
2007,Jannero Pargo,27,PG,0,13.4
2008,Jannero Pargo,28,SG,0,11.9
2010,Jannero Pargo,30,PG,0,8.9
2012,Jannero Pargo,32,PG,0,13.6
2013,Jannero Pargo,33,PG,0,10.3
2013,Jannero Pargo,33,PG,0,0.2
2013,Jannero Pargo,33,PG,0,9.7
2013,Jannero Pargo,33,PG,0,14.1
2014,Jannero Pargo,34,PG,0,18.9
2015,Jannero Pargo,35,PG,0,14.9
2013,Jared Cunningham,21,SG,0,14.8
2014,Jared Cunningham,22,SG,0,8.5
2014,Jared Cunningham,22,SG,0,-1.8
2014,Jared Cunningham,22,SG,0,12.4
2015,Jared Cunningham,23,SG,0,7.3
2016,Jared Cunningham,24,SG,0,5.9
2016,Jared Cunningham,24,SG,0,5.9
2016,Jared Cunningham,24,SG,0,5.8
2008,Jared Dudley,22,PF,0,13.6
2009,Jared Dudley,23,SF,0,13.5
2009,Jared Dudley,23,SF,0,10.6
2009,Jared Dudley,23,SF,0,15.2
2010,Jared Dudley,24,SF,0,13.6
2011,Jared Dudley,25,SF,0,15.6
2012,Jared Dudley,26,SG,0,15.4
2013,Jared Dudley,27,SF,0,14.9
2014,Jared Dudley,28,SF,0,8.9
2015,Jared Dudley,29,SG,0,12.3
2016,Jared Dudley,30,PF,0,11.7
2017,Jared Dudley,31,PF,0,10.6
2003,Jared Jeffries,21,SF,0,11.1
2004,Jared Jeffries,22,PF,0,8.7
2005,Jared Jeffries,23,SF,0,11.2
2006,Jared Jeffries,24,PF,0,11.6
2007,Jared Jeffries,25,SF,0,8.6
2008,Jared Jeffries,26,SF,0,7.9
2009,Jared Jeffries,27,SF,0,9.4
2010,Jared Jeffries,28,PF-SF,0,9.8
2010,Jared Jeffries,28,PF,0,9.7
2010,Jared Jeffries,28,SF,0,10.1
2011,Jared Jeffries,29,PF,0,8
2011,Jared Jeffries,29,PF,0,9.5
2011,Jared Jeffries,29,PF,0,7.6
2012,Jared Jeffries,30,PF,0,10.9
2013,Jared Jeffries,31,PF,0,2.4
2005,Jared Reiner,22,C,0,2.3
2007,Jared Reiner,24,C,0,4.8
2013,Jared Sullinger,20,PF,0,13.5
2014,Jared Sullinger,21,PF,0,16.4
2015,Jared Sullinger,22,PF,0,17.9
2016,Jared Sullinger,23,PF,0,16.7
2017,Jared Sullinger,24,PF,0,5.6
2016,Jarell Eddie,24,SF,0,11
2017,Jarell Eddie,25,SF,0,9.7
2016,Jarell Martin,21,PF,0,14
2017,Jarell Martin,22,PF,0,8.7
1990,Jaren Jackson,22,SG,0,10.8
1992,Jaren Jackson,24,SG,0,12.2
1993,Jaren Jackson,25,SG,0,11.3
1994,Jaren Jackson,26,SG,0,9.5
1995,Jaren Jackson,27,SG,0,8.7
1996,Jaren Jackson,28,SG,0,1.5
1997,Jaren Jackson,29,SG,0,10.1
1998,Jaren Jackson,30,SG,0,9.7
1999,Jaren Jackson,31,SG,0,12.5
2000,Jaren Jackson,32,SG,0,9.7
2001,Jaren Jackson,33,SG,0,10.4
2002,Jaren Jackson,34,SG,0,7.2
2015,Jarnell Stokes,21,PF,0,18.6
2016,Jarnell Stokes,22,C,0,20
2016,Jarnell Stokes,22,C,0,13.6
2016,Jarnell Stokes,22,C,0,21.8
2017,Jarnell Stokes,23,C,0,31.5
2006,Jarrett Jack,22,SG,0,12.3
2007,Jarrett Jack,23,PG,0,14.5
2008,Jarrett Jack,24,SG,0,13
2009,Jarrett Jack,25,SG,0,13.1
2010,Jarrett Jack,26,PG,0,16.3
2011,Jarrett Jack,27,SG-PG,0,14.2
2011,Jarrett Jack,27,PG,0,12.6
2011,Jarrett Jack,27,SG,0,14.6
2012,Jarrett Jack,28,PG,0,17.9
2013,Jarrett Jack,29,SG,0,15.9
2014,Jarrett Jack,30,PG,0,11.5
2015,Jarrett Jack,31,PG,0,14.6
2016,Jarrett Jack,32,PG,0,14.5
2017,Jarrett Jack,33,PG,0,7.7
2017,Jarrod Uthoff,23,PF,0,13.9
2002,Jarron Collins,23,C,0,11.5
2003,Jarron Collins,24,C,0,8.2
2004,Jarron Collins,25,C,0,11.1
2005,Jarron Collins,26,C,0,8
2006,Jarron Collins,27,C,0,11
2007,Jarron Collins,28,C,0,8
2008,Jarron Collins,29,C,0,6.1
2009,Jarron Collins,30,C,0,5.8
2010,Jarron Collins,31,C,0,3.7
2011,Jarron Collins,32,C,0,1.6
2011,Jarron Collins,32,C,0,1.8
2011,Jarron Collins,32,C,0,0
2004,Jarvis Hayes,22,SF,0,9.4
2005,Jarvis Hayes,23,SF,0,11.1
2006,Jarvis Hayes,24,SG,0,12.2
2007,Jarvis Hayes,25,SF,0,10.7
2008,Jarvis Hayes,26,SF,0,13
2009,Jarvis Hayes,27,SF,0,10.8
2010,Jarvis Hayes,28,SF,0,9.7
2013,Jarvis Varnado,24,PF,0,1.2
2013,Jarvis Varnado,24,PF,0,12.8
2013,Jarvis Varnado,24,PF,0,-4.1
2014,Jarvis Varnado,25,PF,0,13.3
2014,Jarvis Varnado,25,PF,0,-9.1
2014,Jarvis Varnado,25,PF,0,13.4
1996,Jason Caffey,22,PF,0,7.9
1997,Jason Caffey,23,PF,0,14.3
1998,Jason Caffey,24,PF,0,13.9
1998,Jason Caffey,24,PF,0,14.4
1998,Jason Caffey,24,PF,0,13.4
1999,Jason Caffey,25,PF,0,10.2
2000,Jason Caffey,26,PF,0,12.4
2001,Jason Caffey,27,PF,0,13.7
2002,Jason Caffey,28,PF,0,11.2
2003,Jason Caffey,29,PF,0,10.5
2001,Jason Collier,23,C,0,7.4
2002,Jason Collier,24,C,0,11.1
2003,Jason Collier,25,C,0,15
2004,Jason Collier,26,C,0,14.6
2005,Jason Collier,27,C,0,11
2002,Jason Collins,23,C,0,10.7
2003,Jason Collins,24,C,0,9.9
2004,Jason Collins,25,C,0,10
2005,Jason Collins,26,C,0,8.6
2006,Jason Collins,27,C,0,5.5
2007,Jason Collins,28,PF,0,3
2008,Jason Collins,29,C,0,3.4
2008,Jason Collins,29,C,0,2
2008,Jason Collins,29,C,0,5.4
2009,Jason Collins,30,C,0,3.3
2010,Jason Collins,31,C,0,0.9
2011,Jason Collins,32,C,0,5.4
2012,Jason Collins,33,C,0,3.7
2013,Jason Collins,34,C,0,3
2013,Jason Collins,34,C,0,3
2013,Jason Collins,34,C,0,2.9
2014,Jason Collins,35,C,0,4.1
2001,Jason Hart,22,PG,0,1.7
2002,Jason Hart,23,PG,0,13.5
2004,Jason Hart,25,PG,0,12.3
2005,Jason Hart,26,PG,0,16.9
2006,Jason Hart,27,PG,0,7.1
2007,Jason Hart,28,PG,0,12.3
2007,Jason Hart,28,PG,0,14.5
2007,Jason Hart,28,PG,0,12
2008,Jason Hart,29,PG,0,8
2009,Jason Hart,30,PG,0,6.5
2009,Jason Hart,30,PG,0,6.1
2009,Jason Hart,30,PG,0,9.8
2010,Jason Hart,31,PG,0,8.7
2010,Jason Hart,31,PG,0,9.3
2010,Jason Hart,31,PG,0,8.5
2004,Jason Kapono,22,SF,0,10.2
2005,Jason Kapono,23,SF,0,11.8
2006,Jason Kapono,24,SF,0,9
2007,Jason Kapono,25,SF,0,13.8
2008,Jason Kapono,26,SF,0,10.8
2009,Jason Kapono,27,SG,0,8.9
2010,Jason Kapono,28,SF,0,8.4
2011,Jason Kapono,29,SF,0,1.6
2012,Jason Kapono,30,SG,0,4.5
1995,Jason Kidd,21,PG,6,15.1
1996,Jason Kidd,22,PG,6,17.8
1997,Jason Kidd,23,PG,6,16.9
1997,Jason Kidd,23,PG,6,15.1
1997,Jason Kidd,23,PG,6,18
1998,Jason Kidd,24,PG,6,16.4
1999,Jason Kidd,25,PG,6,22.5
2000,Jason Kidd,26,PG,6,18.4
2001,Jason Kidd,27,PG,6,19.4
2002,Jason Kidd,28,PG,6,19.1
2003,Jason Kidd,29,PG,6,22.2
2004,Jason Kidd,30,PG,6,19.7
2005,Jason Kidd,31,PG,6,19.5
2006,Jason Kidd,32,PG,6,19.2
2007,Jason Kidd,33,PG,6,19.4
2008,Jason Kidd,34,PG,6,16.7
2008,Jason Kidd,34,PG,6,15.7
2008,Jason Kidd,34,PG,6,18.4
2009,Jason Kidd,35,PG,6,16.9
2010,Jason Kidd,36,PG,6,17.2
2011,Jason Kidd,37,PG,6,14.4
2012,Jason Kidd,38,PG,6,13.1
2013,Jason Kidd,39,SG,6,13.5
1998,Jason Lawson,23,C,0,21.5
2006,Jason Maxiell,22,PF,0,8
2007,Jason Maxiell,23,C,0,14.4
2008,Jason Maxiell,24,C,0,16.7
2009,Jason Maxiell,25,C,0,15.8
2010,Jason Maxiell,26,C,0,14
2011,Jason Maxiell,27,PF,0,9.4
2012,Jason Maxiell,28,PF,0,11.7
2013,Jason Maxiell,29,PF,0,11.3
2014,Jason Maxiell,30,PF,0,8.1
2015,Jason Maxiell,31,PF,0,10.4
2000,Jason Miskiri,24,PG,0,-12.4
2002,Jason Richardson,21,SG,0,13.8
2003,Jason Richardson,22,SG,0,14.8
2004,Jason Richardson,23,SG,0,16.8
2005,Jason Richardson,24,SG,0,19
2006,Jason Richardson,25,SG,0,19.2
2007,Jason Richardson,26,SG,0,15.5
2008,Jason Richardson,27,SF,0,18.4
2009,Jason Richardson,28,SG,0,16.7
2009,Jason Richardson,28,SG,0,15.8
2009,Jason Richardson,28,SG,0,16.9
2010,Jason Richardson,29,SG,0,16.6
2011,Jason Richardson,30,SG,0,15
2011,Jason Richardson,30,SG,0,19.1
2011,Jason Richardson,30,SG,0,13.2
2012,Jason Richardson,31,SG,0,13.3
2013,Jason Richardson,32,SG,0,12.6
2015,Jason Richardson,34,SG,0,11.7
1997,Jason Sasser,23,SF,0,5.8
1997,Jason Sasser,23,SF,0,4.9
1997,Jason Sasser,23,SF,0,14.3
1999,Jason Sasser,25,SF,0,10.7
2008,Jason Smith,21,PF,0,10.7
2010,Jason Smith,23,PF,0,10.6
2011,Jason Smith,24,C,0,10.8
2012,Jason Smith,25,PF,0,16.6
2013,Jason Smith,26,C,0,16.8
2014,Jason Smith,27,PF,0,12.4
2015,Jason Smith,28,C,0,12
2016,Jason Smith,29,C,0,14.6
2017,Jason Smith,30,C,0,13.6
2000,Jason Terry,22,PG,0,13.9
2001,Jason Terry,23,SG,0,17.3
2002,Jason Terry,24,SG,0,19.2
2003,Jason Terry,25,PG,0,18.2
2004,Jason Terry,26,PG,0,16.2
2005,Jason Terry,27,PG,0,18.4
2006,Jason Terry,28,PG,0,18.4
2007,Jason Terry,29,SG,0,18.9
2008,Jason Terry,30,SG,0,17.8
2009,Jason Terry,31,SG,0,19.3
2010,Jason Terry,32,SG,0,16.5
2011,Jason Terry,33,SG,0,15.9
2012,Jason Terry,34,SG,0,15.7
2013,Jason Terry,35,SG,0,12.8
2014,Jason Terry,36,PG,0,7.4
2015,Jason Terry,37,SG,0,11.4
2016,Jason Terry,38,SG,0,10.2
2017,Jason Terry,39,SG,0,9
2009,Jason Thompson,22,PF,0,13.9
2010,Jason Thompson,23,C,0,14.6
2011,Jason Thompson,24,PF,0,13.6
2012,Jason Thompson,25,PF,0,16.4
2013,Jason Thompson,26,PF,0,14.6
2014,Jason Thompson,27,PF,0,11.1
2015,Jason Thompson,28,PF,0,10.2
2016,Jason Thompson,29,C,0,14.2
2016,Jason Thompson,29,C,0,13.3
2016,Jason Thompson,29,C,0,14.7
1999,Jason Williams,23,PG,0,12.8
2000,Jason Williams,24,PG,0,11.6
2001,Jason Williams,25,PG,0,12.8
