Year,Player,Age,Pos,All NBA,All NBA Acc,All NBA Total Career,G,GS,MP,MPpG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGpG,FGA,FGApG,FG%,3P,3PpG,3PA,3PApG,3P%,2P,2PA,2P%,eFG%,FT,FTpG,FTA,FTApG,FT%,ORB,ORBpG,DRB,DRBpG,TRB,TRBpG,AST,ASTpG,STL,STLpG,BLK,BLKpG,TOV,TOVpG,PF,PFpG,PTS,PTSpG
2017,Kyrie Irving,24,6,0,1,2,72,72,2525,35.1,23,0.58,0.311,0.231,2.3,7.5,5,29.7,1.6,0.8,10.3,30.8,7.4,1.5,8.9,0.17,4.8,-2.3,2.5,2.9,671,9.3,1420,19.7,0.473,177,2.5,441,6.1,0.401,494,979,0.505,0.535,297,4.1,328,4.6,0.905,52,0.7,178,2.5,230,3.2,418,5.8,83,1.2,25,0.3,180,2.5,157,2.2,1816,25.2
2018,Kyrie Irving,26,6,0,1,2,60,60,1931,32.2,25,0.61,0.374,0.24,1.7,9.6,5.7,28.2,1.7,0.7,10.4,31.2,6.3,2.7,9,0.222,6.9,-0.7,6.2,4,534,8.9,1087,18.1,0.491,166,2.8,407,6.8,0.408,368,680,0.541,0.568,232,3.2,261,4.4,0.889,33,0.6,194,3.2,227,3.8,306,5.1,65,1.1,17,0.3,139,2.3,122,2,1466,2
2019,Kyrie Irving,27,6,1,2,2,67,67,2214,33,24.3,0.592,0.35,0.197,3.1,11.3,7.2,33,2.2,1.4,11.3,29.6,6.2,2.9,9.1,0.197,6,0.4,6.4,4.7,604,9,1241,18.5,0.487,174,2.6,434,6.5,0.401,604,807,0.748,0.557,214,3.9,245,3.7,0.873,71,1.1,264,3.9,335,5,464,6.9,103,1.5,34,0.5,172,2.6,167,2.5,1596,2.5
2010,Stephen Curry,21,6,0,0,6,80,77,2896,36.2,16.3,0.568,0.332,0.175,1.8,12,6.8,24.6,2.5,0.5,16.5,21.8,3,1.6,4.7,0.077,1.8,-0.7,1,2.2,528,6.6,1143,14.3,0.462,166,2.1,380,4.8,0.437,362,763,0.474,0.535,177,2.2,200,2.5,0.885,48,0.6,308,3.9,356,4.5,472,5.9,152,1.9,19,0.2,243,3,252,3.2,1399,17.5
2011,Stephen Curry,22,6,0,0,6,74,74,2489,33.6,19.4,0.595,0.325,0.216,2.3,10.9,6.5,28.1,2.2,0.6,16.4,24.4,5.4,1.3,6.6,0.128,3.5,-1.6,1.9,2.4,505,6.8,1053,14.2,0.48,151,2,342,4.6,0.442,354,711,0.498,0.551,212,2.9,227,3.1,0.934,52,0.7,234,3.2,286,3.9,432,5.8,109,1.5,20,0.3,226,3.1,233,3.1,1373,18.6
2012,Stephen Curry,23,6,0,0,6,26,23,732,28.2,21.2,0.605,0.409,0.159,2.3,11.3,6.8,32.3,2.8,0.8,17,24,1.8,0.4,2.2,0.144,4.7,-1.3,3.4,1,145,5.6,296,11.4,0.49,55,2.1,121,4.7,0.455,90,175,0.514,0.583,38,1.5,47,1.8,0.809,15,0.6,73,2.8,88,3.4,138,5.3,39,1.5,8,0.3,65,2.5,62,2.4,383,14.7
2013,Stephen Curry,24,6,0,0,6,78,78,2983,38.2,21.3,0.589,0.432,0.21,2.3,9.1,5.8,31.1,2.1,0.3,13.7,26.4,8.4,2.8,11.2,0.18,6.3,-0.9,5.4,5.6,626,8,1388,17.8,0.451,272,3.5,600,7.7,0.453,354,788,0.449,0.549,262,3.4,291,3.7,0.9,59,0.8,255,3.3,314,4,539,6.9,126,1.6,12,0.2,240,3.1,198,2.5,1786,22.9
2014,Stephen Curry,25,6,1,1,6,78,78,2846,36.5,24.1,0.61,0.445,0.252,1.8,10.9,6.4,39.9,2.2,0.4,16.1,28.3,9.3,4,13.4,0.225,7.4,0,7.4,6.7,652,8.4,1383,17.7,0.471,261,3.3,615,7.9,0.424,391,768,0.509,0.566,308,3.9,348,4.5,0.885,46,0.6,288,3.7,334,4.3,666,8.5,128,1.6,14,0.2,294,3.8,194,2.5,1873,24
2015,Stephen Curry,26,6,1,2,6,80,80,2613,32.7,28,0.638,0.482,0.251,2.4,11.4,7,38.6,3,0.5,14.3,28.9,11.5,4.1,15.7,0.288,9.6,0.3,9.9,7.9,653,8.2,1341,16.8,0.487,286,3.6,646,8.1,0.443,367,695,0.528,0.594,308,3.9,337,4.2,0.914,56,0.7,285,3.6,341,4.3,619,7.7,163,2,16,0.2,249,3.1,158,2,1900,23.8
2016,Stephen Curry,27,6,1,3,6,79,79,2700,34.2,31.5,0.669,0.554,0.25,2.9,13.6,8.6,33.7,3,0.4,12.9,32.6,13.8,4.1,17.9,0.318,12.4,0.1,12.5,9.8,805,10.2,1598,20.2,0.504,402,5.1,886,11.2,0.454,403,712,0.566,0.63,363,4.6,400,5.1,0.908,68,0.9,362,4.6,430,5.4,527,6.7,169,2.1,15,0.2,262,3.3,161,2,2375,30.1
2017,Stephen Curry,28,6,1,4,6,79,79,2638,33.4,24.6,0.624,0.547,0.251,2.7,11.4,7.3,31.1,2.6,0.5,13,30.1,8.6,3.9,12.6,0.229,7.7,-0.4,7.3,6.2,675,8.5,1443,18.3,0.468,324,4.1,789,10,0.411,351,654,0.537,0.58,325,4.1,362,4.6,0.898,61,0.8,292,3.7,353,4.5,523,6.6,143,1.8,17,0.2,239,3,183,2.3,1999,25.3
2018,Stephen Curry,29,6,1,5,6,51,51,1631,32,28.3,0.675,0.58,0.35,2.4,12.4,7.9,27.2,2.4,0.4,13.3,30.6,7.2,1.9,9.1,0.267,9.9,-1.3,8.6,4.4,428,8.4,864,17,0.495,212,4.2,501,9.9,0.423,215,362,0.595,0.618,278,5.4,302,5.9,0.921,36,0.8,225,4.4,261,5.1,310,6.1,80,1.6,8,0.2,153,3,114,2.2,1346,26.4
2019,Stephen Curry,30,6,1,6,6,69,69,2331,33.8,24.4,0.641,0.605,0.21,2,12.2,7.5,22.5,1.9,0.9,11.6,29.2,7.2,2.5,9.7,0.199,7.7,-1.4,6.3,4.9,632,9.2,1340,19.4,0.472,354,5.1,810,11.7,0.437,276,531,0.527,0.604,263,3.8,287,4.2,0.916,45,0.7,324,4.7,369,5.3,361,5.2,92,1.3,25,0.4,192,2.8,166,2.4,1881,27.3
