Al Horford,2012.5,25.5,0.0,0.1,0.7,1.0,64.6,64.2,2153.5,33.18,19.11,0.57,0.06,0.23,7.97,21.46,14.78,14.96,1.32,2.95,11.55,19.67,3.96,3.09,7.06,0.16,0.73,2.24,2.95,2.72,392.3,6.14,742.7,11.51,0.53,19.5,0.26,56.3,0.8,0.34,372.8,686.4,0.54,0.54,119.9,1.87,160.3,2.53,0.75,147.2,2.28,413.6,6.23,560.8,8.51,192.6,2.91,53.4,0.84,78.4,1.24,103.1,1.62,153.7,2.3,924.0,14.39
Al Jefferson,2011.0,26.0,0.0,0.08,0.31,1.0,67.62,50.0,1985.77,29.01,20.05,0.53,0.01,0.24,9.1,24.75,16.83,9.45,1.23,3.18,8.41,25.15,2.8,2.53,5.34,0.13,-0.55,0.4,-0.17,1.13,465.38,6.82,933.54,13.65,0.5,0.62,0.0,4.85,0.08,0.12,464.77,928.69,0.5,0.5,152.54,2.23,215.15,3.15,0.7,155.69,2.25,424.85,6.21,580.54,8.48,101.31,1.48,47.08,0.68,82.31,1.22,91.54,1.32,175.46,2.58,1083.92,15.84
Alaa Abdelnaby,1993.0,24.0,3.0,0.0,0.0,0.0,51.2,10.6,640.0,11.8,12.32,0.52,0.0,0.3,9.62,20.8,15.24,4.24,1.02,1.56,15.9,22.28,0.14,0.82,0.96,0.05,-4.24,-1.66,-5.92,-0.46,124.0,2.22,247.2,4.52,0.49,0.0,0.0,0.6,0.0,0.19,124.0,246.6,0.49,0.49,45.0,0.9,64.2,1.28,0.66,56.6,1.0,112.6,2.14,169.2,3.18,17.0,0.3,14.2,0.26,13.8,0.24,49.4,0.96,96.8,1.74,293.0,5.3
Alan Anderson,2012.5,29.5,9.0,0.0,0.0,0.0,41.25,8.25,849.12,19.04,9.51,0.52,0.45,0.24,2.56,9.89,6.2,9.25,1.16,0.32,11.16,17.46,0.48,0.46,0.9,0.05,-1.19,-1.76,-2.94,-0.02,105.38,2.35,260.5,5.88,0.4,41.38,0.92,120.38,2.64,0.34,64.0,140.12,0.45,0.48,50.5,1.14,61.88,1.42,0.8,18.88,0.41,70.38,1.56,89.25,2.0,46.38,1.1,22.75,0.44,3.88,0.09,36.25,0.86,75.25,1.79,302.62,6.8
Alan Henderson,2001.5,28.5,3.0,0.0,0.0,0.0,54.33,18.33,1148.33,19.57,14.58,0.53,0.0,0.44,12.55,15.93,14.25,4.91,1.36,1.72,13.03,17.6,1.25,1.08,2.34,0.11,-1.3,-0.56,-1.84,0.08,164.67,2.82,351.25,5.98,0.49,0.42,0.0,2.17,0.02,0.24,164.25,349.08,0.49,0.49,94.75,1.59,148.17,2.49,0.63,118.83,2.03,151.92,2.63,270.75,4.68,33.08,0.57,30.33,0.53,24.75,0.42,59.75,0.99,119.67,1.95,424.5,7.24
Alec Burks,2014.5,22.5,12.0,0.0,0.0,0.0,50.17,7.0,1103.0,22.72,13.37,0.52,0.22,0.39,3.62,12.43,8.05,12.67,1.4,0.53,12.2,22.75,0.95,0.67,1.62,0.07,-0.95,-1.47,-2.45,-0.03,175.5,3.55,409.67,8.45,0.42,30.17,0.67,83.83,1.8,0.36,145.33,325.83,0.44,0.46,124.5,2.58,165.5,3.4,0.76,34.17,0.67,112.0,2.42,146.17,3.07,89.0,1.78,30.67,0.58,7.67,0.15,68.67,1.38,95.5,1.92,505.67,10.35
Alexis Ajinca,2013.14,24.14,0.0,0.0,0.0,0.0,41.86,10.86,557.86,11.66,12.39,0.52,0.04,0.23,8.21,20.7,14.39,4.47,1.56,3.46,14.51,19.94,0.41,0.66,1.09,0.06,-4.44,-0.19,-4.6,-0.07,92.14,1.89,183.29,3.84,0.48,1.71,0.06,6.0,0.17,0.14,90.43,177.29,0.49,0.49,35.86,0.69,45.0,0.91,0.66,49.43,0.96,114.86,2.3,164.29,3.23,20.43,0.37,14.57,0.31,25.86,0.54,35.57,0.71,94.43,1.97,221.86,4.56
Al-Farouq Aminu,2014.0,23.0,9.0,0.0,0.0,0.0,74.29,40.14,1788.57,24.17,12.21,0.51,0.27,0.29,6.77,20.03,13.36,7.51,2.09,2.06,15.44,15.7,0.51,1.96,2.5,0.07,-1.81,1.41,-0.39,0.74,199.71,2.69,468.71,6.3,0.42,43.57,0.6,134.57,1.84,0.29,156.14,334.14,0.46,0.47,95.0,1.27,131.0,1.77,0.73,103.86,1.39,317.29,4.31,421.14,5.71,91.29,1.23,70.57,0.94,43.86,0.59,95.29,1.29,138.14,1.87,538.0,7.23
Allan Houston,1999.5,27.5,12.0,0.0,0.0,0.0,69.92,60.58,2359.25,33.38,14.45,0.54,0.28,0.24,1.46,8.16,4.85,13.02,1.07,0.38,11.52,24.5,2.88,1.73,4.6,0.08,0.85,-1.98,-1.12,0.82,444.75,6.22,1001.42,14.09,0.44,108.75,1.54,270.58,3.85,0.4,336.0,730.83,0.46,0.49,214.33,2.98,248.25,3.47,0.86,29.42,0.41,173.42,2.37,202.83,2.78,165.83,2.35,47.17,0.67,11.58,0.16,146.67,2.05,171.83,2.41,1212.58,16.99
Allen Iverson*,2003.5,27.5,12.0,0.5,4.36,7.0,65.29,64.36,2684.57,40.7,20.41,0.52,0.16,0.41,2.25,8.16,5.2,28.22,2.68,0.31,12.44,31.44,4.34,2.73,7.06,0.12,3.3,-1.04,2.26,3.14,604.79,9.05,1421.86,21.37,0.42,75.64,1.12,241.64,3.56,0.31,529.14,1180.21,0.45,0.45,455.36,6.84,583.43,8.79,0.78,53.21,0.81,189.21,2.89,242.43,3.69,401.71,6.0,141.64,2.11,11.71,0.16,233.0,3.54,126.93,1.92,1740.57,26.06
